DATE,grain,BeerProduction,FactoryManagerName
1/1/1992,grain,3459,田中 孝
1/2/1992,grain,3458,田中 孝
1/3/1992,grain,4002,田中 孝
1/4/1992,grain,4564,田中 孝
1/5/1992,grain,4221,田中 孝
1/6/1992,grain,4529,田中 孝
1/7/1992,grain,4466,田中 孝
1/8/1992,grain,4137,坂本 隆之
1/9/1992,grain,4126,坂本 隆之
1/10/1992,grain,4259,坂本 隆之
1/11/1992,grain,4240,坂本 隆之
1/12/1992,grain,4936,坂本 隆之
1/1/1993,grain,3031,坂本 隆之
1/2/1993,grain,3261,井上 雅博
1/3/1993,grain,4160,井上 雅博
1/4/1993,grain,4377,井上 雅博
1/5/1993,grain,4307,井上 雅博
1/6/1993,grain,4696,井上 雅博
1/7/1993,grain,4458,井上 雅博
1/8/1993,grain,4457,井上 雅博
1/9/1993,grain,4364,井上 雅博
1/10/1993,grain,4236,井上 雅博
1/11/1993,grain,4500,井上 雅博
1/12/1993,grain,4974,井上 雅博
1/1/1994,grain,3075,田中 政雄
1/2/1994,grain,3377,田中 政雄
1/3/1994,grain,4443,田中 政雄
1/4/1994,grain,4261,田中 政雄
1/5/1994,grain,4460,田中 政雄
1/6/1994,grain,4985,田中 政雄
1/7/1994,grain,4324,田中 政雄
1/8/1994,grain,4719,田中 政雄
1/9/1994,grain,4374,田中 政雄
1/10/1994,grain,4248,田中 政雄
1/11/1994,grain,4784,田中 政雄
1/12/1994,grain,4971,田中 政雄
1/1/1995,grain,3370,田中 政雄
1/2/1995,grain,3484,田中 政雄
1/3/1995,grain,4269,田中 政雄
1/4/1995,grain,3994,田中 政雄
1/5/1995,grain,4715,田中 政雄
1/6/1995,grain,4974,田中 政雄
1/7/1995,grain,4223,田中 政雄
1/8/1995,grain,5000,田中 政雄
1/9/1995,grain,4235,田中 政雄
1/10/1995,grain,4554,田中 政雄
1/11/1995,grain,4851,田中 政雄
1/12/1995,grain,4826,田中 政雄
1/1/1996,grain,3699,田中 政雄
1/2/1996,grain,3983,田中 政雄
1/3/1996,grain,4262,田中 政雄
1/4/1996,grain,4619,田中 政雄
1/5/1996,grain,5219,田中 政雄
1/6/1996,grain,4836,田中 政雄
1/7/1996,grain,4941,田中 政雄
1/8/1996,grain,5062,田中 政雄
1/9/1996,grain,4365,田中 政雄
1/10/1996,grain,5012,田中 政雄
1/11/1996,grain,4850,田中 政雄
1/12/1996,grain,5097,田中 政雄
1/1/1997,grain,3758,田中 政雄
1/2/1997,grain,3825,田中 政雄
1/3/1997,grain,4454,田中 政雄
1/4/1997,grain,4635,田中 政雄
1/5/1997,grain,5210,田中 政雄
1/6/1997,grain,5057,田中 政雄
1/7/1997,grain,5231,田中 政雄
1/8/1997,grain,5034,田中 政雄
1/9/1997,grain,4970,田中 政雄
1/10/1997,grain,5342,田中 政雄
1/11/1997,grain,4831,田中 政雄
1/12/1997,grain,5965,田中 政雄
1/1/1998,grain,3796,田中 政雄
1/2/1998,grain,4019,田中 政雄
1/3/1998,grain,4898,田中 政雄
1/4/1998,grain,5090,田中 政雄
1/5/1998,grain,5237,田中 政雄
1/6/1998,grain,5447,田中 政雄
1/7/1998,grain,5435,田中 政雄
1/8/1998,grain,5107,田中 政雄
1/9/1998,grain,5515,田中 政雄
1/10/1998,grain,5583,田中 政雄
1/11/1998,grain,5346,田中 政雄
1/12/1998,grain,6286,田中 政雄
1/1/1999,grain,4032,田中 政雄
1/2/1999,grain,4435,田中 政雄
1/3/1999,grain,5479,田中 政雄
1/4/1999,grain,5483,田中 政雄
1/5/1999,grain,5587,田中 政雄
1/6/1999,grain,6176,田中 政雄
1/7/1999,grain,5621,田中 政雄
1/8/1999,grain,5889,田中 政雄
1/9/1999,grain,5828,田中 政雄
1/10/1999,grain,5849,田中 政雄
1/11/1999,grain,6180,田中 政雄
1/12/1999,grain,6771,田中 政雄
1/1/2000,grain,4243,田中 政雄
1/2/2000,grain,4952,田中 政雄
1/3/2000,grain,6008,小幡 健司
1/4/2000,grain,5353,島 慎太郎
1/5/2000,grain,6435,島 慎太郎
